"cluster_membership","name","degrees","color","betweeness","closeness","eigenvectors"
1,"RTN2",6,"#FF0000",1.61353442858487,0.00278551532033426,0.0969743425511351
2,"NDRG2",1,"#FF1700",0,1,0
3,"CCDC113",0,"#FF2D00",0,NA,0
1,"FAM63A",16,"#FF0000",75.612903717457,0.003003003003003,0.190522283252273
4,"ACADS",0,"#FF4300",0,NA,0
5,"GMDS",0,"#FF5A00",0,NA,0
6,"HLA-H",4,"#FF7100",6.85747645441962,0.00217391304347826,0.0218853388660012
7,"SEMA4A",0,"#FF8700",0,NA,0
8,"ETS2",0,"#FF9E00",0,NA,0
1,"LIMD2",13,"#FF0000",182.971070840087,0.00301204819277108,0.144540492909123
1,"NME3",12,"#FF0000",52.9171708084205,0.00291545189504373,0.128175633946337
9,"ZEB1",34,"#FFB400",1026.97015963899,0.00357142857142857,1
10,"CDCP1",0,"#FFCB00",0,NA,0
11,"GIYD2",0,"#FFE100",0,NA,0
1,"RTKN2",5,"#FF0000",0,0.0025062656641604,0.0764939883078394
12,"MANSC1",0,"#FFF800",0,NA,0
9,"TAGLN",13,"#FFB400",121.130353744622,0.00261780104712042,0.392918780407311
6,"IFIT3",6,"#FF7100",39.2132544779898,0.00209205020920502,0.0189827423027763
13,"ARL4C",11,"#F0FF00",70.6518043527785,0.00288184438040346,0.102711475773389
9,"HTRA1",25,"#FFB400",280.867867636031,0.00308641975308642,0.850993938343971
1,"KIF13B",24,"#FF0000",206.935265654207,0.00325732899022801,0.350570267544643
14,"CPPED1",0,"#D9FF00",0,NA,0
13,"SKAP2",1,"#F0FF00",0,0.00209205020920502,0.0198426287039409
1,"ASPM",25,"#FF0000",487.296889279957,0.003125,0.24830478008632
1,"KDM4B",38,"#FF0000",878.251205416022,0.00357142857142857,0.398008244973681
13,"TBXAS1",12,"#F0FF00",3.09051707169354,0.00249376558603491,0.155013046546769
15,"MT1X",0,"#C3FF00",0,NA,0
1,"MED13L",18,"#FF0000",95.5720806456795,0.00294985250737463,0.18823806539699
1,"SNORA8",3,"#FF0000",2.96270359239874,0.00255102040816327,0.0347926924039867
16,"RGS1",0,"#ACFF00",0,NA,0
17,"CBX6",0,"#96FF00",0,NA,0
9,"WWC2",2,"#FFB400",0,0.00242718446601942,0.0900615425975773
13,"TNFRSF12A",1,"#F0FF00",0,0.00202429149797571,0.00352175981375359
1,"ZNF552",32,"#FF0000",297.941172864471,0.00333333333333333,0.3379645838877
13,"MAPRE2",5,"#F0FF00",0.769755244755245,0.00257731958762887,0.0447814921502674
9,"SEMA5A",21,"#FFB400",35.8193466586078,0.00292397660818713,0.815665507151956
18,"STAT5A",0,"#80FF00",0,NA,0
13,"FLI1",27,"#F0FF00",712.801791861803,0.00326797385620915,0.599558195602118
9,"COL15A1",18,"#FFB400",14.751456078573,0.00290697674418605,0.723593684561582
9,"C7orf55",1,"#FFB400",0,0.00242130750605327,0.0520560044383174
9,"ASF1B",13,"#FFB400",92.2350239847457,0.00304878048780488,0.260146930392489
1,"FUT8",25,"#FF0000",562.370334259994,0.00357142857142857,0.374942635026937
1,"LASS4",14,"#FF0000",136.030843530311,0.00304878048780488,0.140867267436215
19,"SQLE",0,"#69FF00",0,NA,0
20,"GPC4",0,"#52FF00",0,NA,0
9,"AKAP12",20,"#FFB400",18.2216873181116,0.0028735632183908,0.790922760604895
1,"AGL",1,"#FF0000",0,0.0022075055187638,0.0132667291253372
21,"ADAMTS4",0,"#3CFF00",0,NA,0
1,"EPHB3",4,"#FF0000",0.7875,0.00248756218905473,0.0548879154227789
1,"MAP3K1",14,"#FF0000",23.4605114562361,0.00286532951289398,0.206903959255479
13,"PRNP",5,"#F0FF00",0,0.0025974025974026,0.0447176797809301
22,"PROM2",0,"#25FF00",0,NA,0
23,"SLCO3A1",0,"#0FFF00",0,NA,0
1,"SNHG1",4,"#FF0000",2.76667776667777,0.00247524752475248,0.0451229828725039
9,"PRKCDBP",4,"#FFB400",2.78162809828407,0.00233100233100233,0.0795692317813707
24,"MXI1",0,"#00FF07",0,NA,0
13,"CSF1R",17,"#F0FF00",48.8088039228191,0.00280898876404494,0.193756661559725
1,"TANC2",3,"#FF0000",0,0.00251256281407035,0.0486792874313904
1,"SLC19A2",12,"#FF0000",15.4530072075283,0.00280898876404494,0.15518042429975
25,"RHOU",0,"#00FF1E",0,NA,0
1,"C4orf34",29,"#FF0000",461.567486006474,0.00344827586206897,0.352366782203867
1,"LRIG1",21,"#FF0000",135.176012471609,0.0032258064516129,0.336503595347517
13,"DOCK8",15,"#F0FF00",151.149019126274,0.00268096514745308,0.191595215097307
1,"BOC",2,"#FF0000",0,0.0023094688221709,0.0160067876521088
1,"C11orf52",5,"#FF0000",11.4526822398713,0.00251256281407035,0.0360557375556041
26,"S100A16",0,"#00FF35",0,NA,0
27,"NRARP",0,"#00FF4B",0,NA,0
28,"TTC23",0,"#00FF62",0,NA,0
29,"TBC1D4",0,"#00FF78",0,NA,0
30,"DEPDC6",0,"#00FF8F",0,NA,0
1,"ILDR1",2,"#FF0000",0,0.00239234449760766,0.0225474371493336
