"cluster_membership","name","degrees","color"
1,"RTN2",6,"#FF0000"
2,"NDRG2",1,"#FF1700"
3,"CCDC113",0,"#FF2D00"
1,"FAM63A",16,"#FF0000"
4,"ACADS",0,"#FF4300"
5,"GMDS",0,"#FF5A00"
6,"HLA-H",4,"#FF7100"
7,"SEMA4A",0,"#FF8700"
8,"ETS2",0,"#FF9E00"
1,"LIMD2",13,"#FF0000"
1,"NME3",12,"#FF0000"
9,"ZEB1",34,"#FFB400"
10,"CDCP1",0,"#FFCB00"
11,"GIYD2",0,"#FFE100"
1,"RTKN2",5,"#FF0000"
12,"MANSC1",0,"#FFF800"
9,"TAGLN",13,"#FFB400"
6,"IFIT3",6,"#FF7100"
13,"ARL4C",11,"#F0FF00"
9,"HTRA1",25,"#FFB400"
1,"KIF13B",24,"#FF0000"
14,"CPPED1",0,"#D9FF00"
13,"SKAP2",1,"#F0FF00"
1,"ASPM",25,"#FF0000"
1,"KDM4B",38,"#FF0000"
13,"TBXAS1",12,"#F0FF00"
15,"MT1X",0,"#C3FF00"
1,"MED13L",18,"#FF0000"
1,"SNORA8",3,"#FF0000"
16,"RGS1",0,"#ACFF00"
17,"CBX6",0,"#96FF00"
9,"WWC2",2,"#FFB400"
13,"TNFRSF12A",1,"#F0FF00"
1,"ZNF552",32,"#FF0000"
13,"MAPRE2",5,"#F0FF00"
9,"SEMA5A",21,"#FFB400"
18,"STAT5A",0,"#80FF00"
13,"FLI1",27,"#F0FF00"
9,"COL15A1",18,"#FFB400"
9,"C7orf55",1,"#FFB400"
9,"ASF1B",13,"#FFB400"
1,"FUT8",25,"#FF0000"
1,"LASS4",14,"#FF0000"
19,"SQLE",0,"#69FF00"
20,"GPC4",0,"#52FF00"
9,"AKAP12",20,"#FFB400"
1,"AGL",1,"#FF0000"
21,"ADAMTS4",0,"#3CFF00"
1,"EPHB3",4,"#FF0000"
1,"MAP3K1",14,"#FF0000"
13,"PRNP",5,"#F0FF00"
22,"PROM2",0,"#25FF00"
23,"SLCO3A1",0,"#0FFF00"
1,"SNHG1",4,"#FF0000"
9,"PRKCDBP",4,"#FFB400"
24,"MXI1",0,"#00FF07"
13,"CSF1R",17,"#F0FF00"
1,"TANC2",3,"#FF0000"
1,"SLC19A2",12,"#FF0000"
25,"RHOU",0,"#00FF1E"
1,"C4orf34",29,"#FF0000"
1,"LRIG1",21,"#FF0000"
13,"DOCK8",15,"#F0FF00"
1,"BOC",2,"#FF0000"
1,"C11orf52",5,"#FF0000"
26,"S100A16",0,"#00FF35"
27,"NRARP",0,"#00FF4B"
28,"TTC23",0,"#00FF62"
29,"TBC1D4",0,"#00FF78"
30,"DEPDC6",0,"#00FF8F"
1,"ILDR1",2,"#FF0000"
9,"SDC1",1,"#FFB400"
1,"STC2",12,"#FF0000"
1,"DTWD2",19,"#FF0000"
9,"TCF4",23,"#FFB400"
1,"ITPR2",1,"#FF0000"
13,"DPYD",17,"#F0FF00"
